# 回测结果（按收益率排序）
===========================================

## 排序后的回测结果
185. 板块: 浙江板块, 止盈率: 1.3, 止损率: 0.8, 均线: ma20, 盈利: 18507.00, 收益率: 18.51%
186. 板块: 浙江板块, 止盈率: 1.4, 止损率: 0.75, 均线: ma10, 盈利: 18466.00, 收益率: 18.47%
187. 板块: 江苏板块, 止盈率: 1.15, 止损率: 0.85, 均线: ma5, 盈利: 18456.00, 收益率: 18.46%
188. 板块: 浙江板块, 止盈率: 1.2, 止损率: 0.6, 均线: ma20, 盈利: 18460.00, 收益率: 18.46%
189. 板块: 浙江板块, 止盈率: 1.1, 止损率: 0.7, 均线: ma5, 盈利: 18443.00, 收益率: 18.44%
190. 板块: 浙江板块, 止盈率: 1.3, 止损率: 0.9, 均线: ma10, 盈利: 18427.00, 收益率: 18.43%
191. 板块: 北京板块, 止盈率: 1.35, 止损率: 0.9, 均线: ma10, 盈利: 18418.00, 收益率: 18.42%
192. 板块: 浙江板块, 止盈率: 1.25, 止损率: 0.8, 均线: ma10, 盈利: 18408.00, 收益率: 18.41%
193. 板块: 浙江板块, 止盈率: 1.35, 止损率: 0.8, 均线: ma60, 盈利: 18415.00, 收益率: 18.41%
194. 板块: 浙江板块, 止盈率: 1.35, 止损率: 0.75, 均线: ma45, 盈利: 18404.00, 收益率: 18.40%
195. 板块: 上海板块, 止盈率: 1.25, 止损率: 0.85, 均线: ma45, 盈利: 18384.00, 收益率: 18.38%
196. 板块: 浙江板块, 止盈率: 1.15, 止损率: 0.8, 均线: ma5, 盈利: 18366.00, 收益率: 18.37%
197. 板块: 浙江板块, 止盈率: 1.3, 止损率: 0.65, 均线: ma45, 盈利: 18374.00, 收益率: 18.37%
198. 板块: 浙江板块, 止盈率: 1.3, 止损率: 0.6, 均线: ma45, 盈利: 18374.00, 收益率: 18.37%
199. 板块: 江苏板块, 止盈率: 1.25, 止损率: 0.85, 均线: ma30, 盈利: 18359.00, 收益率: 18.36%
200. 板块: 浙江板块, 止盈率: 1.4, 止损率: 0.7, 均线: ma5, 盈利: 18357.00, 收益率: 18.36%
201. 板块: 浙江板块, 止盈率: 1.25, 止损率: 0.65, 均线: ma10, 盈利: 18347.00, 收益率: 18.35%
202. 板块: 山东板块, 止盈率: 1.15, 止损率: 0.9, 均线: ma45, 盈利: 18341.00, 收益率: 18.34%
203. 板块: 上海板块, 止盈率: 1.25, 止损率: 0.85, 均线: ma30, 盈利: 18328.00, 收益率: 18.33%
204. 板块: -, 止盈率: 1.25, 止损率: 0.8, 均线: ma60, 盈利: 18295.00, 收益率: 18.30%
205. 板块: 浙江板块, 止盈率: 1.15, 止损率: 0.8, 均线: ma30, 盈利: 18290.00, 收益率: 18.29%
206. 板块: 浙江板块, 止盈率: 1.15, 止损率: 0.7, 均线: ma5, 盈利: 18289.00, 收益率: 18.29%
207. 板块: 浙江板块, 止盈率: 1.3, 止损率: 0.6, 均线: ma5, 盈利: 18293.00, 收益率: 18.29%
208. 板块: 浙江板块, 止盈率: 1.25, 止损率: 0.7, 均线: ma60, 盈利: 18278.00, 收益率: 18.28%
209. 板块: 浙江板块, 止盈率: 1.3, 止损率: 0.8, 均线: ma5, 盈利: 18277.00, 收益率: 18.28%
210. 板块: 浙江板块, 止盈率: 1.35, 止损率: 0.7, 均线: ma45, 盈利: 18276.00, 收益率: 18.28%
211. 板块: 浙江板块, 止盈率: 1.4, 止损率: 0.6, 均线: ma60, 盈利: 18270.00, 收益率: 18.27%
212. 板块: -, 止盈率: 1.25, 止损率: 0.8, 均线: ma45, 盈利: 18269.00, 收益率: 18.27%
213. 板块: 浙江板块, 止盈率: 1.2, 止损率: 0.7, 均线: ma60, 盈利: 18262.00, 收益率: 18.26%
214. 板块: 浙江板块, 止盈率: 1.4, 止损率: 0.65, 均线: ma60, 盈利: 18239.00, 收益率: 18.24%
215. 板块: 浙江板块, 止盈率: 1.3, 止损率: 0.65, 均线: ma30, 盈利: 18223.00, 收益率: 18.22%
216. 板块: 浙江板块, 止盈率: 1.3, 止损率: 0.6, 均线: ma30, 盈利: 18223.00, 收益率: 18.22%
217. 板块: 浙江板块, 止盈率: 1.4, 止损率: 0.8, 均线: ma45, 盈利: 18206.00, 收益率: 18.21%
218. 板块: 浙江板块, 止盈率: 1.35, 止损率: 0.9, 均线: ma45, 盈利: 18201.00, 收益率: 18.20%
